team_name,ourlads_slug,ourlads_id,banner_color
"Temple Owls","temple","91970","#1a4d2e"
"Tennessee Volunteers","tennessee","91993","#1a4d2e"
"Texas Longhorns","texas","92016","#1a4d2e"
"Texas A&amp;M Aggies","texas-am","92039","#1a4d2e"
"Texas State Bobcats","texas-state","92821","#1a4d2e"
"Texas Tech Red Raiders","texas-tech","92062","#1a4d2e"
"Toledo Rockets","toledo","92085","#1a4d2e"
"Troy Trojans","troy","92108","#1a4d2e"
"Tulane Green Wave","tulane","92131","#1a4d2e"
"Tulsa Golden Hurricane","tulsa","92154","#1a4d2e"
"UAB Blazers","uab","92177","#1a4d2e"
"UCLA Bruins","ucla","92223","#1a4d2e"
"UNLV Rebels","unlv","92246","#1a4d2e"
"USC Trojans","usc","92269","#1a4d2e"
"Utah Utes","utah","92292","#1a4d2e"
"Utah State Aggies","utah state","92315","#1a4d2e"
"UTEP Miners","utep","92338","#1a4d2e"
"UTSA Roadrunners","utsa","92683","#1a4d2e"
"Vanderbilt Commodores","vanderbilt","92361","#1a4d2e"
"Virginia Cavaliers","virginia","92384","#1a4d2e"
"Virginia Tech Hokies","virginia-tech","92407","#1a4d2e"
"Wake Forest Demon Deacons","wake-forest","92430","#1a4d2e"
"Washington Huskies","washington","92453","#1a4d2e"
"Washington State Cougars","washington-state","92476","#1a4d2e"
"West Virginia Mountaineers","west-virginia","92499","#1a4d2e"
"Western Kentucky Hilltoppers","wku","92775","#1a4d2e"
"Western Michigan Broncos","western-michigan","92522","#1a4d2e"
"Wisconsin Badgers","wisconsin","92545","#1a4d2e"
"Wyoming Cowboys","wyoming","92568","#1a4d2e"
